year,days_above_90,days_above_100,school_days_above_90,school_days_above_100
1948,10,1,6,0
1949,6,0,6,0
1950,13,5,12,5
1951,10,1,8,1
1953,11,0,7,0
1954,13,3,6,1
1955,9,0,9,0
1956,8,0,8,0
1957,17,0,12,0
1958,14,1,14,1
1959,16,4,12,1
1960,18,3,16,3
1961,29,9,17,2
1962,12,1,12,1
1963,18,0,12,0
1964,21,0,15,0
1965,7,0,7,0
1966,18,3,15,3
1967,16,0,9,0
1968,19,2,13,2
1969,21,0,16,0
1970,28,2,23,1
1971,26,4,20,4
1973,27,9,19,6
1974,21,0,16,0
1975,25,1,19,0
1976,22,9,22,9
1977,15,4,11,1
1978,28,0,22,0
1979,26,4,19,3
1980,15,5,11,5
1981,23,8,17,7
1982,13,2,12,2
1984,22,0,15,0
1985,14,1,9,0
1986,4,0,2,0
1988,19,4,13,1
1989,13,2,9,1
1990,12,1,9,1
1991,11,1,8,0
1992,5,0,4,0
1993,27,5,23,4
1994,16,2,14,2
1995,23,3,15,2
1996,16,0,10,0
1997,13,0,11,0
1998,18,1,13,1
1999,14,0,11,0
2001,18,1,15,0
2003,27,2,23,2
2004,15,0,15,0
2007,14,0,12,0
2009,19,3,17,3
2010,13,1,13,1
2011,12,0,9,0
2012,12,1,11,1
2013,9,0,7,0
2014,18,0,15,0
2015,18,2,15,2
2016,12,0,10,0
2017,17,3,13,3
2018,6,0,6,0
2019,15,4,14,4
2020,29,5,27,5
2021,7,1,7,1
2022,15,3,14,3
2023,9,0,9,0
2024,23,4,15,3
2025,10,0,10,0
